,toxic,non-toxic
22986,How sick are you?,how can you be so twisted?
143670,"Despite such, pardon me, 'bullshit', such a slanderous accusation, is ZK Communications a pyramid scheme?","despite this gibberish, sorry, utterly pointless conversation, is ZK Communications a pyramid scheme?"
1445,nothing more than a street loser with dyed hair and a collection of plates.,Nothing but a street haint with dyed hair and a record collection.
25245,"You want to go back to your cell, just turn the hell around.”","if you want to go back to your cell, you can. """
358939,"yeah, he probably thought, ""Yeah, I'm not gonna shit today.""","Yeah, he probably thought, ""Sod it, I'll just not bother today, ey?"""
189200,"fuck off, you hear?",Do you hear me?
513225,Except you've got the same rat eyes.,except for the same underwhelming eyes.
478885,"Ah, hell, she's nuts.",she's crazy about it.
488833,why the hell did you do this to me?,What the helI'd you do that for?
154251,I'm sick of this crap.,I'm sick of this.
519206,cut out your chest.,Present your chest.
50289,"If you don't want my help, just get your ass back in that district and hash it out with Sergeant Platt.","if you don't want my help, go back to the precinct and get that with Sergeant Platt."
523527,"damn, I passed.",I bloody passed.
172405,"I don't want to talk to my lawyer, damn it.",I don't want to talk to my lawyer.
403017,what the hell is he doing here?,What is he doing here?
126531,Make them beg me to end them.,they'll beg me to finish them.
282080,Crazy. What are you doing?,what are you doing?
25789,That's why he wants you dead?,then why does he want you to die?
484077,"We could all die, Dean.","we can all do that, Dean."
90397,I heard you were in a whorehouse.,I hear you've been to a brothel.
455641,"Your ass is going to be broken, too, if you don't get me the coffee.","if you don't get me coffee, I'll break something else."
233904,"oh, shit!","Oh, yotz!"
484330,casting a demon in your stomach.,A demon's snarling in your stomach.
442316,"He was an ornery drunk, basically.","basically, he was a drinker."
318270,he came home tonight and you killed him.,"He came home that night, and you killed him - Oh, Margaret"
16564,Of course he's fucked her.,of course he did.
371294,we're screwed!,We're done for!
415712,She burned to death.,she was burned.
294367,Wallace will punch your friend as long as the song goes.,Wallace will splurge your friend for as long as this song reads.
123297,I'm gonna hit him!,I'm ramming him!
89394,"fuck that, man.","Screw that, man."
391113,she's too old and weak to hurt anyone.,She's too old and too weak to harm anyone now.
408251,they all killed them... with a sword.,They've all been killed... by sword.
567712,To do what... kill one of my sisters?,what? Want one of your sisters?
231578,Well. what you said was fairly fuckin' insensitive.,what you told her was pretty indifferent.
193298,he'd probably be killed before the meeting.,"Otherwise, he would've been killed before the rendezvous."
19262,"You're a scarecrow, aren't you?",scarecrow... isn't it?
197519,I need you to get your crap out of here so I can see the underneath crap I'm dealing with.,I need you to take this mess to see what a mess is underneath.
380542,we'il shoot the window when he gets back.,We'il barricadethe window when he gets back.
200497,the patient is a genetic bomb.,Patient's a genetic time bomb.
300218,She carried him through the damn gate!,she made it through the gate.
163138,so I suggest you stop with this crap.,So I suggest you stop this petulance.
299161,because of me he seems to be on the most important day of his life...... Dan's face like a freaking Barbie doll.,"I am the reason that, on the most important day of Dan's life... ...Dan's face looks like a melted Barbie doll's."
332576,"Let's see what kind of crap you have in your bag, Sandy Patterson.","let's see what you have in your backpack, Sandy Patterson."
515681,faggot?,Queer?
434574,If we punished every commander who made a fool of himself... we wouldn't have anyone left above the rank of centurion.,"if we punished every commander in charge of himself, no one would be more worthy than a settler."
114433,she smells like a nut.,Smell the nut.
201138,Damning mistakes we ourselves make.,we deplore the mistakes we make.
164582,Which lets you know exactly what the fuck it is-- open heart.,which will clearly show you what it means... an open heart.
142117,Face or balls!,face or ball?
498051,"Yeah, I think Russo's on his way down to meet your girlfriend, dickhead.","I think Russo's on his way down and meets your girlfriend, you know?"
200003,Kick it over there.,kick her out.
398397,"You don't want to fucking acknowledge the fucking truth, Fred!","you don't want to acknowledge the truth, Fred."
67118,I've lived with that son of a bitch for 10 years.,I lived with the creep for a decade.
357348,I won't give you my fucking phone.,Give me your cell phone.
167616,"listen, you piece of shit, you put my kids in danger, and you didn't do it for nothing as noble as your people.","Listen, buster. You endangered my children. You didn't do it for anything as noble as the people."
162001,shut up!,Stop it!
374399,I want to see Amedeo to hit him!,I want Amedeo to be shocked when he sees me!
545263,"""They fucked with us on Bressia and now they're fucking with us on ... in ... whatsis ...""","""they used to hook us up with Bressia and we're being used for...... what..."""
338026,"Lila fucked the oil out of her car right in the sink, okay?","She was pouring the sump oil from her car right into the storm drain, okay?"
396996,"a ballet dancer can do a self-improvement cooker in front of a man with a machine gun, and she's going to be useless.",A ballet dancer can pirouette in front of a shotgun and it'll do her about as much good.
407622,this is so pathetic.,This is so lame.
412747,"who said that religious lunatic couldn't drink, huh?","Who said that Jesus freak couldn't drink, huh?"
45915,but our son doesn't give a shit.,"Oh, but you do give a whit about our son."
34642,"but in New York, you can only hear the bombshell German Wagner or Orff, and we have to go to that stupid show at the American Nazi Party in Madison Square Garden every week, with flags, drums, pipes and blazing torches.","All we get in New York is heavy German bombastic Wagner and Orff, and we have to go every week to one of those corny U.S. Nazi Party dramatic spectacles at Madison Square Garden, with the flags and drums and trumpets and the flickering flame."
70318,"You're all the bloody same, aren't you?",are you all the same or not?
226866,More than a nigger can spend.,more than you can spend.
544320,you're a pariah.,You are an outsider.
353698,did you have sex behind my back?,You jeepin' behind my back?
179761,You guys don't know that shit for sure!,you guys don't know for sure!
202678,where do they take all the shit?,Where are they getting all this poo?
388032,"You had sex with annie,and you're sorry.",did you sleep with Annie and you're sorry?
404268,I'm so glad you decided not to fuck with me.,I'm so glad you decided not to ditch me.
510850,the hand I shot you off is still out.,I see the arm I shot off is still shot off.
